,idx,source_prompt,target_prompt,instructions
746,540697-output2,Crew preparing a large white airplane with blue tail for takeoff on a sunny day.,Crew preparing a large white rocket with blue tail for takeoff on a sunny day.,change the plane into a rocket
747,236243-input,A bedroom filled with a bed and windows with curtains.,"A bedroom filled with a bed, windows with curtains, and a clock on the wall.",Change the painting on the wall to a clock
748,236243-output1,"A bedroom filled with a bed, windows with curtains, and a clock on the wall.","A cozy bedroom with a cat lounging on the bed, windows with curtains, and a clock on the wall.",Have there be a cat on the bed
749,318924-input,A group of dead stuffed animals on display in a museum.,"A group of dead stuffed animals, including a real zebra, on display in a museum.",let the statue of zebra be real
750,318924-output1,"A group of dead stuffed animals, including a real zebra, on display in a museum.","A group of dead stuffed animals, including a real zebra, with a water bowl on display in a museum.",add a water bowl
751,459440-input,A close-up of a drawing on a piece of paper next to a computer mouse.,A close-up of a drawing of a person's face on a piece of paper next to a computer mouse.,Have the sheet of paper show a picture of a person's face
752,428152-input,"A kitchen with a stove, microwave, sink and dishwasher.","A kitchen with a chicken cooking on the stove, microwave, sink and dishwasher.",Put a chicken in a pot on top of the oven.
753,360540-input,A store with some umbrellas next to a motor scooter.,A store with some umbrellas next to a penguin.,change the scooter for a penguin
754,570951-input,Two cooks are preparing food in a restaurant kitchen.,Cowboy cook and his partner prepare food in a restaurant kitchen.,give the man a cowboy hat
755,570951-output1,Cowboy cook and his partner prepare food in a restaurant kitchen.,Cowboy cook and his witch partner prepare food in a restaurant kitchen.,put a witch hat in the woman
756,433334-input,A couple and a man sitting at a table.,An angry man confronts a couple at a table.,make the man angry
757,433334-output1,An angry man confronts a couple at a table.,An angry man confronts a couple at a table with an empty plate.,empty the man's plate
758,411727-input,A laptop sitting on a desk with books and other accessories.,Laptop displaying a media player on a desk with books and other accessories.,let the laptop show a media player on its screen
759,411727-output1,Laptop displaying a media player on a desk with books and other accessories.,"Laptop displaying a media player on a desk with books, an eye shadow kit, and other accessories.",replace the glasses with an eye shadow kit
760,411727-output2,"Laptop displaying a media player on a desk with books, an eye shadow kit, and other accessories.","Person's hand holding a laptop displaying a media player on a desk with books, an eye shadow kit, and other accessories.",let there be a person's hand on the table
761,415461-input,Two children playing in a living room with hardwood floors.,Child enjoying ice cream while playing in a living room with hardwood floors.,make the child eat an ice cream
762,415461-output1,Child enjoying ice cream while playing in a living room with hardwood floors.,Bald child enjoying ice cream while playing in a living room with hardwood floors.,let the child be bald
763,415461-output2,Bald child enjoying ice cream while playing in a living room with hardwood floors.,Two children enjoying ice cream while playing in a living room with hardwood floors.,let another child reach for the ice cream
764,401307-input,A few people on skis looking back for a photo.,A couple on skis looking back for a photo.,Erase two of the people.
765,390565-input,A set of motorcycles sitting on a roadside near a small car.,A set of motorcycles parked by a serene lake near a small car.,A lake next to the motorcycles.
766,390565-output1,A set of motorcycles parked by a serene lake near a small car.,A set of motorcycles parked by a serene lake with a green field nearby.,We should have a green field next to the lake.
767,390565-output2,A set of motorcycles parked by a serene lake with a green field nearby.,A set of motorcycles parked by a serene lake with a car on the green field nearby.,Put a car on the field.
768,220031-input,a man surfing on a surfboard in the water with houses on the shore.,A man falls off his surfboard in the water with houses on the shore.,Let the surfer fall.
769,84031-input,Baseball game in large stadium with ball flying toward batter,Tennis game in large stadium with ball flying toward player with racquet,Change the baseball bat into a tennis racquet.
770,84031-output1,Tennis game in large stadium with ball flying toward player with racquet,Tennis game in large stadium with tennis ball flying toward player with racquet,change the baseball to a tennis ball
771,84031-output2,Tennis game in large stadium with tennis ball flying toward player with racquet,Tennis game in large stadium with tennis ball flying toward bucket of balls.,Change the catcher into a bucket of balls.
772,434496-input,A buffet table is set up with all sorts of food.,A buffet table is set up with a variety of food and fresh fruits.,put some fruits
773,434496-output1,A buffet table is set up with a variety of food and fresh fruits.,A buffet table is set up with a variety of donuts and fresh fruits.,swap the food for donuts
774,28288-input,A foot long hot dog in a bun covered in ketchup.,A foot long hot dog in a bun covered in ketchup and mustard.,put mustard on the hot dog
775,108244-input,A black cat with a hat on the ground.,"A black cat with a hat on the ground, eyeing a nearby mouse.",Put a mouse near the cat.
776,156405-input,A photo of a wavy wooden bench at night.,A photo of a wavy wooden bench at night on a marble sidewalk.,let the sidewalk be a marble sidewalk
777,156405-output1,A photo of a wavy wooden bench at night on a marble sidewalk.,A photo of a wavy wooden bench with a cat on the seat at night on a marble sidewalk.,add a cat on the seat
778,156405-output2,A photo of a wavy wooden bench with a cat on the seat at night on a marble sidewalk.,"A photo of a wavy wooden bench with a cat on the seat at night on a marble sidewalk, with a boat in the lake.",add a boat in the lake
779,518182-input,A guy playing with a disc on the beach.,A guy playing with a ball on the beach.,replace the frisbee with a ball
